target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae_pct_of_scalar_baseline
wrc_plus,archived_6_value,B,M3 scalar + age + PA,3,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,20.668829920579185,18.985919514853247,22.509920423707225,26.575320606780487,24.50495976878414,28.783179164032024,100.568682225873
wrc_plus,archived_6_value,B,M4 B2V + age + PA,7,10.0,701,False,2021->2022; 2022->2023,2023->2024,355,19.129790150753273,17.54725418748873,20.826152607494144,24.798496884595224,22.821361589322155,26.84871095880576,93.0801498735653
wrc_plus,archived_6_value,B,M5 constituents + age + PA,24,100.0,701,False,2021->2022; 2022->2023,2023->2024,355,18.68056804945327,17.1265033811084,20.32575312075023,24.244125230467017,22.3381313827384,26.255176374102795,90.89436214740587
wrc_plus,archived_6_value,C,M0 scalar baseline,1,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.21950413681012,17.618265335409745,20.891605705749487,24.895583052431476,22.704846812594813,27.20726446980178,100.0
wrc_plus,archived_6_value,C,M1 B2V 5 tools,5,0.01,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.02668351334404,16.5142534217134,19.680878982589903,23.70453287793446,21.60945145634093,25.980264445599506,93.79369719959875
wrc_plus,archived_6_value,C,M2 constituent stats,22,1.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.774813182619596,16.300888881385415,19.287312974656864,22.9775053980996,21.16283194667523,24.923279767766648,92.48320381261252
wrc_plus,archived_6_value,C,M3 scalar + age + PA,3,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.18195854461076,17.575973134837998,20.755768622071965,24.668367604764182,22.447038020527422,26.812726346078662,99.80464848659936
wrc_plus,archived_6_value,C,M4 B2V + age + PA,7,10.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.027933369578705,16.527655363193553,19.63366481558553,23.5629284942526,21.466366647688922,25.68432426634972,93.80020026141433
wrc_plus,archived_6_value,C,M5 constituents + age + PA,24,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.762324472916823,16.32466365243381,19.25939041970505,22.955365274599984,21.025833289583655,24.94255160240228,92.4182244582344
wrc_plus,archived_6_value,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.699905843266166,18.70112091000519,20.759977688014622,25.469484802884846,24.14363481863353,26.748591475613768,100.0
wrc_plus,archived_6_value,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.53275692632902,17.604573578705857,19.49068279771056,23.928922176519592,22.73635432129756,25.174989219041922,94.07535789143834
wrc_plus,archived_6_value,pooled,M2 constituent stats,22,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.400196372207333,17.486581738266015,19.33456394876353,23.59674531008087,22.43089859699496,24.753702854454193,93.40245846147991
wrc_plus,archived_6_value,pooled,M3 scalar + age + PA,3,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.51115725332896,18.475975787285357,20.528274887472552,25.063916402533227,23.7763546206413,26.31636568452748,99.04188075090865
